noESCO,ESCOskill,noESCO_percentage,ESCOskill_percentage,cooccurrence_count
google-cloud-platform,python,0.12,4.26,11
google-cloud-platform,java,0.12,4.62,3
google-cloud-platform,android,0.12,3.02,2
google-cloud-platform,php,0.12,3.05,3
google-cloud-platform,c#,0.12,3.64,1
google-cloud-platform,javascript,0.12,5.15,9
google-cloud-platform,.net,0.12,0.86,1
google-cloud-platform,jenkins,0.12,0.11,1
google-cloud-functions,python,0.03,4.26,1
google-cloud-functions,javascript,0.03,5.15,3
google-cloud-run,python,0.01,4.26,1
google-cloud-run,angular,0.01,0.73,1
google-cloud-storage,python,0.03,4.26,3
google-cloud-storage,traffic,0.03,0.0,1
google-bigquery,python,0.04,4.26,7
google-bigquery,sql,0.04,0.59,5
google-bigquery,r,0.04,0.56,1
google-cloud-pubsub,python,0.0,4.26,1
google-cloud-build,python,0.0,4.26,1
google-app-engine,python,0.09,4.26,11
google-app-engine,java,0.09,4.62,2
google-app-engine,android,0.09,3.02,3
google-app-engine,javascript,0.09,5.15,4
google-app-engine,scala,0.09,0.27,1
google-app-engine,eclipse,0.09,0.32,1
google-app-engine,go,0.09,0.21,5
google-app-engine,time,0.09,0.06,3
google-app-engine,ip,0.09,0.02,4
google-app-engine,traffic,0.09,0.0,1
google-app-engine,get,0.09,0.0,2
node.js,python,0.89,4.26,12
node.js,performance,0.89,0.16,2
node.js,c++,0.89,1.77,3
node.js,arrays,0.89,0.5,7
node.js,c,0.89,0.65,6
node.js,linux,0.89,0.58,2
node.js,sockets,0.89,0.06,1
node.js,windows,0.89,0.33,11
node.js,java,0.89,4.62,16
node.js,android,0.89,3.02,6
node.js,php,0.89,3.05,24
node.js,c#,0.89,3.64,15
node.js,javascript,0.89,5.15,207
node.js,.net,0.89,0.86,1
node.js,sql,0.89,0.59,1
node.js,typescript,0.89,0.59,9
node.js,rust,0.89,0.14,1
node.js,r,0.89,0.56,4
node.js,list,0.89,0.14,1
node.js,dictionary,0.89,0.12,1
node.js,ruby,0.89,0.42,1
node.js,postgresql,0.89,0.32,3
node.js,mysql,0.89,0.79,13
node.js,css,0.89,1.46,5
node.js,asp.net,0.89,0.39,1
node.js,ajax,0.89,0.1,1
node.js,algorithm,0.89,0.16,1
node.js,git,0.89,0.68,3
node.js,swift,0.89,0.83,2
node.js,angular,0.89,0.73,10
node.js,security,0.89,0.06,1
node.js,date,0.89,0.12,1
node.js,orm,0.89,0.04,1
node.js,go,0.89,0.21,4
node.js,spring,0.89,0.64,1
node.js,proxy,0.89,0.02,1
node.js,ios,0.89,1.69,2
node.js,express,0.89,0.09,33
node.js,promise,0.89,0.03,4
node.js,redis,0.89,0.05,2
node.js,module,0.89,0.03,1
node.js,import,0.89,0.02,1
node.js,configuration,0.89,0.05,2
node.js,ipc,0.89,0.0,1
node.js,build,0.89,0.03,1
node.js,logging,0.89,0.07,2
node.js,meteor,0.89,0.08,11
node.js,request,0.89,0.0,1
node.js,canvas,0.89,0.02,1
node.js,joi,0.89,0.0,1
node.js,routes,0.89,0.02,1
node.js,fs,0.89,0.01,2
node.js,package,0.89,0.02,2
node.js,jboss,0.89,0.01,1
node.js,coffeescript,0.89,0.0,1
node.js,console,0.89,0.02,2
node.js,solidity,0.89,0.01,1
node.js,config,0.89,0.01,2
node.js,electron,0.89,0.02,1
node.js,co,0.89,0.01,3
google-kubernetes-engine,python,0.01,4.26,1
google-kubernetes-engine,php,0.01,3.05,1
docker,python,0.49,4.26,24
docker,c++,0.49,1.77,3
docker,linux,0.49,0.58,11
docker,windows,0.49,0.33,1
docker,java,0.49,4.62,18
docker,android,0.49,3.02,5
docker,php,0.49,3.05,16
docker,c#,0.49,3.64,4
docker,javascript,0.49,5.15,5
docker,.net,0.49,0.86,1
docker,typescript,0.49,0.59,4
docker,shell,0.49,0.18,1
docker,postgresql,0.49,0.32,7
docker,mysql,0.49,0.79,8
docker,css,0.49,1.46,1
docker,asp.net,0.49,0.39,2
docker,scala,0.49,0.27,2
docker,git,0.49,0.68,5
docker,angular,0.49,0.73,2
docker,pip,0.49,0.1,1
docker,eclipse,0.49,0.32,3
docker,go,0.49,0.21,3
docker,jenkins,0.49,0.11,2
docker,merge,0.49,0.03,1
docker,branch,0.49,0.01,1
docker,repository,0.49,0.02,1
docker,proxy,0.49,0.02,1
docker,wordpress,0.49,0.12,1
docker,ansible,0.49,0.07,1
docker,redis,0.49,0.05,1
docker,arm,0.49,0.02,1
docker,service,0.49,0.03,1
docker,io,0.49,0.03,1
docker,hadoop,0.49,0.02,1
docker,meteor,0.49,0.08,2
docker,containers,0.49,0.02,3
docker,permissions,0.49,0.03,1
docker,monitoring,0.49,0.0,1
docker,bind,0.49,0.0,1
docker,root,0.49,0.01,1
google-compute-engine,python,0.01,4.26,1
numpy,python,0.17,4.26,74
numpy,performance,0.17,0.16,4
numpy,c++,0.17,1.77,1
numpy,arrays,0.17,0.5,5
numpy,string,0.17,0.39,1
numpy,java,0.17,4.62,1
numpy,c#,0.17,3.64,1
numpy,sql,0.17,0.59,1
numpy,list,0.17,0.14,6
numpy,dictionary,0.17,0.12,1
numpy,postgresql,0.17,0.32,1
numpy,algorithm,0.17,0.16,1
numpy,prolog,0.17,0.02,1
numpy,haskell,0.17,0.14,1
numpy,orm,0.17,0.04,1
numpy,database,0.17,0.15,1
numpy,matlab,0.17,0.11,1
numpy,ceil,0.17,0.0,1
numpy,max,0.17,0.02,2
numba,python,0.0,4.26,1
numba,performance,0.0,0.16,1
numba,c++,0.0,1.77,1
numba,arrays,0.0,0.5,1
optimization,python,0.02,4.26,3
optimization,performance,0.02,0.16,2
optimization,c++,0.02,1.77,2
optimization,arrays,0.02,0.5,1
optimization,php,0.02,3.05,2
optimization,c#,0.02,3.64,1
optimization,javascript,0.02,5.15,1
optimization,r,0.02,0.56,2
optimization,dictionary,0.02,0.12,1
optimization,mysql,0.02,0.79,1
parallel-processing,python,0.02,4.26,3
parallel-processing,performance,0.02,0.16,1
parallel-processing,c++,0.02,1.77,4
parallel-processing,arrays,0.02,0.5,1
parallel-processing,mysql,0.02,0.79,1
parallel-processing,haskell,0.02,0.14,2
multithreading,python,0.14,4.26,9
multithreading,performance,0.14,0.16,1
multithreading,c++,0.14,1.77,9
multithreading,arrays,0.14,0.5,2
multithreading,c,0.14,0.65,1
multithreading,string,0.14,0.39,1
multithreading,linux,0.14,0.58,1
multithreading,struct,0.14,0.02,1
multithreading,sockets,0.14,0.06,1
multithreading,function,0.14,0.04,1
multithreading,class,0.14,0.07,1
multithreading,vector,0.14,0.03,1
multithreading,templates,0.14,0.08,1
multithreading,file,0.14,0.16,1
multithreading,char,0.14,0.01,1
multithreading,stl,0.14,0.04,1
multithreading,windows,0.14,0.33,3
multithreading,java,0.14,4.62,23
multithreading,android,0.14,3.02,2
multithreading,c#,0.14,3.64,11
multithreading,javascript,0.14,5.15,1
multithreading,.net,0.14,0.86,4
multithreading,list,0.14,0.14,1
multithreading,angular,0.14,0.73,2
multithreading,perl,0.14,0.07,3
multithreading,eclipse,0.14,0.32,1
multithreading,spring,0.14,0.64,1
multithreading,service,0.14,0.03,1
multithreading,installation,0.14,0.04,3
multithreading,counter,0.14,0.01,3
openmp,python,0.01,4.26,2
openmp,performance,0.01,0.16,1
openmp,c++,0.01,1.77,3
openmp,arrays,0.01,0.5,1
pointers,python,0.04,4.26,1
pointers,c++,0.04,1.77,14
pointers,arrays,0.04,0.5,5
pointers,c,0.04,0.65,12
