Source,Target,Confidence
composer-php,php,1.0
scikit-learn,python (computer programming),1.0
pyqt,python (computer programming),1.0
javafx-2,write javanese,1.0
ipython,python (computer programming),1.0
django-admin,python (computer programming),1.0
angular6,angular,1.0
python-asyncio,python (computer programming),1.0
retrofit,android (mobile operating systems),1.0
dagger-2,android (mobile operating systems),1.0
google-chrome-extension,javascript,1.0
android-edittext,android (mobile operating systems),1.0
google-play-services,android (mobile operating systems),1.0
blur,css,1.0
r-sf,supervise correctional procedures,1.0
android-jetpack-compose,android (mobile operating systems),0.9473684210526315
pyspark,python (computer programming),0.9444444444444444
android-fragments,android (mobile operating systems),0.9318181818181818
android-room,android (mobile operating systems),0.9230769230769231
r-markdown,supervise correctional procedures,0.9166666666666666
android-widget,android (mobile operating systems),0.9090909090909091
react-router,javascript,0.9
python-imaging-library,python (computer programming),0.9
android-ndk,android (mobile operating systems),0.9
azure-devops,c#,0.8888888888888888
android-architecture-components,android (mobile operating systems),0.8888888888888888
project-reactor,write javanese,0.875
android-appcompat,android (mobile operating systems),0.875
entity-framework-core,c#,0.875
phpstorm,php,0.875
angular-cli,angular,0.8571428571428571
scipy,python (computer programming),0.8571428571428571
knitr,supervise correctional procedures,0.8461538461538461
windows-phone-8,c#,0.8461538461538461
react-hooks,javascript,0.8461538461538461
ggplot2,supervise correctional procedures,0.8360655737704918
xaml,c#,0.8333333333333334
excel-formula,pursue excellence in the creation of food products,0.8333333333333334
machine-learning,python (computer programming),0.8333333333333334
pytorch,python (computer programming),0.8333333333333334
zend-framework2,php,0.8235294117647058
sharepoint,c#,0.8181818181818182
cocoapods,biosecurity related to animals,0.8
backbone.js,javascript,0.8
tkinter,python (computer programming),0.7931034482758621
jupyter-notebook,python (computer programming),0.7916666666666666
phpunit,php,0.7894736842105263
xamarin.forms,c#,0.7894736842105263
pytest,python (computer programming),0.7857142857142857
zend-framework,php,0.7857142857142857
matplotlib,python (computer programming),0.7802197802197802
razor,c#,0.7777777777777778
uwp,c#,0.7777777777777778
virtualenv,python (computer programming),0.7777777777777778
cuda,microsoft visual c++,0.7777777777777778
json.net,c#,0.7777777777777778
laravel-5,php,0.7755102040816326
dplyr,supervise correctional procedures,0.7741935483870968
android-layout,android (mobile operating systems),0.7717391304347826
android-activity,android (mobile operating systems),0.7692307692307693
tensorflow,python (computer programming),0.7647058823529411
javafx,write javanese,0.7647058823529411
android-viewpager,android (mobile operating systems),0.7647058823529411
ecmascript-6,javascript,0.7647058823529411
python-2.7,python (computer programming),0.7636363636363637
dynamics-crm-2011,c#,0.75
flask,python (computer programming),0.75
data.table,supervise correctional procedures,0.75
keras,python (computer programming),0.75
jaxb,write javanese,0.75
win-universal-app,c#,0.75
sequelize.js,javascript,0.75
clang,microsoft visual c++,0.75
anaconda,python (computer programming),0.75
c++20,microsoft visual c++,0.75
angular2-routing,typescript,0.75
argparse,python (computer programming),0.75
angular2-forms,angular,0.75
android-5.0-lollipop,android (mobile operating systems),0.75
prestashop,php,0.75
android-recyclerview,android (mobile operating systems),0.7450980392156863
textview,android (mobile operating systems),0.7368421052631579
android-emulator,android (mobile operating systems),0.7368421052631579
jpa,write javanese,0.7358490566037735
arraylist,write javanese,0.7333333333333333
extjs,javascript,0.7333333333333333
swing,write javanese,0.7297297297297297
pandas,python (computer programming),0.728
mysqli,php,0.7272727272727273
java-stream,write javanese,0.7272727272727273
python-typing,python (computer programming),0.7272727272727273
google-maps-api-3,javascript,0.7272727272727273
hibernate,write javanese,0.7241379310344828
eloquent,php,0.7222222222222222
shiny,supervise correctional procedures,0.71875
java-8,write javanese,0.7142857142857143
doctrine,php,0.7142857142857143
jasmine,javascript,0.7142857142857143
jakarta-ee,write javanese,0.7142857142857143
svg,javascript,0.7083333333333334
numpy,python (computer programming),0.7047619047619048
python-3.7,python (computer programming),0.7
scrapy,python (computer programming),0.6923076923076923
django,python (computer programming),0.6896551724137931
